dream_vals,login_vals,time_vals,gt_vals,earnings_vals,total_time,strats
0,7,2760,1,3673376.0,19320,unstocked
0,7,2760,2,3309282.900000984,19320,stocked
0,7,2760,2,1591312.8000000003,19320,unstocked
0,7,2760,3,1732507.1999998929,19320,stocked
0,7,2760,3,2006257.7999999996,19320,unstocked
0,7,3060,1,1486003.0,21420,stocked
0,7,3060,1,2666452.0,21420,unstocked
0,7,3060,2,2990315.9000009387,21420,stocked
0,7,3060,2,2433842.4000000004,21420,unstocked
0,7,3060,3,1599582.149999536,21420,stocked
0,7,3060,3,1565844.5999999999,21420,unstocked
0,7,3360,1,2216356.0,23520,stocked
0,7,3360,1,2567084.0,23520,unstocked
0,7,3360,2,1683376.2000005036,23520,stocked
0,7,3360,2,2090567.6000000003,23520,unstocked
0,7,3360,3,2376355.399999248,23520,stocked
0,7,3360,3,2691275.999999999,23520,unstocked
0,8,60,1,32304.0,480,stocked
0,8,60,1,0.0,480,unstocked
0,8,60,2,35534.39999999327,480,stocked
0,8,60,2,0.0,480,unstocked
0,8,60,3,37149.60000000735,480,stocked
0,8,60,3,0.0,480,unstocked
0,8,360,1,490452.0,2880,stocked
0,8,360,1,595668.0,2880,unstocked
0,8,360,2,898409.5999996875,2880,stocked
0,8,360,2,140421.6,2880,unstocked
0,8,360,3,404869.00000006135,2880,stocked
0,8,360,3,146804.4,2880,unstocked
0,8,660,1,301748.0,5280,stocked
0,8,660,1,723324.0,5280,unstocked
0,8,660,2,475177.9999998649,5280,stocked
0,8,660,2,717666.4,5280,unstocked
0,8,660,3,542924.2000001839,5280,stocked
0,8,660,3,521948.19999999995,5280,unstocked
0,8,960,1,32304.0,7680,stocked
0,8,960,1,780080.0,7680,unstocked
0,8,960,2,1153376.4000000807,7680,stocked
0,8,960,2,1513322.8000000003,7680,unstocked
0,8,960,3,183953.9999999261,7680,stocked
0,8,960,3,456678.80000000005,7680,unstocked
0,8,1260,1,230860.0,10080,stocked
0,8,1260,1,1106292.0,10080,unstocked
0,8,1260,2,455481.39999989036,10080,stocked
0,8,1260,2,1372901.2,10080,unstocked
0,8,1260,3,869634.6000002361,10080,stocked
0,8,1260,3,1125431.4000000001,10080,unstocked
0,8,1560,1,680524.0,12480,stocked
0,8,1560,1,1957272.0,12480,unstocked
0,8,1560,2,924783.1999998109,12480,stocked
0,8,1560,2,1357342.8000000003,12480,unstocked
0,8,1560,3,1576116.3999999159,12480,stocked
0,8,1560,3,1060162.0,12480,unstocked
0,8,1860,1,415232.0,14880,stocked
0,8,1860,1,2028172.0,14880,unstocked
0,8,1860,2,1672220.0000003048,14880,stocked
0,8,1860,2,1294911.2000000002,14880,unstocked
0,8,1860,3,2080349.9999992892,14880,stocked
0,8,1860,3,1957253.9999999995,14880,unstocked
0,8,2160,1,952552.0,17280,stocked
0,8,2160,1,1177192.0,17280,unstocked
0,8,2160,2,2583336.8000009204,17280,stocked
0,8,2160,2,2308979.2000000007,17280,unstocked
0,8,2160,3,1542766.3999997787,17280,stocked
0,8,2160,3,2854345.9999999995,17280,unstocked
0,8,2460,1,1727628.0,19680,stocked
0,8,2460,1,1574304.0,19680,unstocked
0,8,2460,2,2069573.0000004405,19680,stocked
0,8,2460,2,2449400.8000000007,19680,unstocked
0,8,2460,3,2003769.199999561,19680,stocked
0,8,2460,3,1794183.9999999995,19680,unstocked
0,8,2760,1,1694598.0,22080,stocked
0,8,2760,1,1957272.0,22080,unstocked
0,8,2760,2,2072329.6000003829,22080,stocked
0,8,2760,2,1060941.2,22080,unstocked
0,8,2760,3,3522661.5999990217,22080,stocked
0,8,2760,3,2544471.599999999,22080,unstocked
0,8,3060,1,2328598.0,24480,stocked
0,8,3060,1,3006808.0,24480,unstocked
0,8,3060,2,1826569.8000004014,24480,stocked
0,8,3060,2,2933097.2000000007,24480,unstocked
0,8,3060,3,1595404.1999996244,24480,stocked
0,8,3060,3,1810449.5999999996,24480,unstocked
0,8,3360,1,3136748.0,26880,stocked
0,8,3360,1,2212584.0,26880,unstocked
0,8,3360,2,2104924.8000006373,26880,stocked
0,8,3360,2,2012577.6000000003,26880,unstocked
0,8,3360,3,2701531.6999989445,26880,stocked
0,8,3360,3,3539364.1999999993,26880,unstocked
0,9,60,1,32292.0,540,stocked
0,9,60,1,0.0,540,unstocked
0,9,60,2,35521.19999999328,540,stocked
0,9,60,2,0.0,540,unstocked
0,9,60,3,37135.80000000734,540,stocked
0,9,60,3,0.0,540,unstocked
0,9,360,1,352732.0,3240,stocked
0,9,360,1,255312.0,3240,unstocked
0,9,360,2,595784.1999998547,3240,stocked
0,9,360,2,1014067.9999999999,3240,unstocked
0,9,360,3,698050.0000001828,3240,stocked
0,9,360,3,293608.8,3240,unstocked
0,9,660,1,358404.0,5940,stocked
0,9,660,1,524768.0,5940,unstocked
0,9,660,2,493613.9999999268,5940,stocked
0,9,660,2,1575754.4000000004,5940,unstocked
0,9,660,3,167582.59999993813,5940,stocked
0,9,660,3,293608.8,5940,unstocked
0,9,960,1,426104.0,8640,stocked
0,9,960,1,709180.0,8640,unstocked
0,9,960,2,646584.3999997624,8640,stocked
0,9,960,2,1076499.5999999999,8640,unstocked
0,9,960,3,832087.1000002085,8640,stocked
0,9,960,3,603483.2,8640,unstocked
0,9,1260,1,1143692.0,11340,stocked
0,9,1260,1,2169972.0,11340,unstocked
0,9,1260,2,331922.79999993043,11340,stocked
0,9,1260,2,2090567.6000000003,11340,unstocked
0,9,1260,3,956482.6000002346,11340,stocked
0,9,1260,3,1810449.5999999996,11340,unstocked
0,9,1560,1,1049994.0,14040,stocked
0,9,1560,1,1163048.0,14040,unstocked
0,9,1560,2,1294862.8000001162,14040,stocked
0,9,1560,2,1872156.0000000005,14040,unstocked
